YEAR,MONTH,DISTRICT,Brightness,Confidence,ThermalData,FRP,DayNight
2012,1,NAWALPARASI,306.8,64,292.8,6.0,D
2012,1,JAJARKOT,301.2,24,279.2,7.0,D
2012,1,SUNSARI,316.2,75,298.4,9.8,D
2012,1,RAUTAHAT,302.5,53,292.0,3.3,D
2012,1,SAPTARI,309.6,67,294.3,6.6,D
2012,1,RAUTAHAT,304.3,58,292.1,4.4,D
2012,1,MUGU,301.9,49,280.2,9.9,D
2012,1,SAPTARI,312.1,69,296.4,7.1,D
2012,1,SUNSARI,311.8,25,294.0,5.4,D
2012,1,SUNSARI,348.1,72,300.9,53.5,D
2012,1,SUNSARI,308.5,47,296.6,3.8,D
2012,1,SAPTARI,313.8,70,296.6,7.1,D
2012,1,DOLPA,313.2,34,292.0,29.1,D
2012,1,DOLPA,320.0,70,291.5,46.6,D
2012,1,DOLPA,315.8,55,291.0,33.6,D
2012,1,SAPTARI,332.7,88,298.5,41.7,D
2012,1,SAPTARI,386.5,100,299.6,273.2,D
2012,1,KAPILBASTU,304.0,36,290.9,5.1,D
2012,1,CHITAWAN,340.3,92,293.5,74.4,D
2012,1,CHITAWAN,336.7,90,293.1,64.9,D
2012,1,CHITAWAN,323.5,82,293.2,35.1,D
2012,1,CHITAWAN,312.8,61,292.3,15.9,D
2012,1,KAPILBASTU,304.0,54,289.5,4.5,D
2012,1,SAPTARI,308.0,53,293.4,14.0,D
2012,1,DOLPA,322.9,80,300.4,20.3,D
2012,1,KALIKOT,304.4,47,288.6,8.6,D
2012,1,DOLPA,316.7,61,291.9,14.1,D
2012,1,KANCHANPUR,317.4,78,291.2,62.0,D
2012,1,KANCHANPUR,302.7,53,291.0,20.9,D
2012,1,KANCHANPUR,301.2,45,290.5,17.7,D
2012,1,TANAHU,300.3,29,286.9,3.5,D
2012,1,MAKAWANPUR,300.3,13,289.3,2.7,D
2012,1,KANCHANPUR,307.9,65,293.7,14.6,D
2012,1,KANCHANPUR,312.1,72,291.7,21.1,D
2012,1,RUKUM,336.0,90,286.5,49.6,D
2012,1,GORKHA,301.7,27,286.5,5.5,D
2012,1,JAJARKOT,307.2,54,294.2,13.3,D
2012,1,JAJARKOT,302.5,19,290.9,9.8,D
2012,1,KANCHANPUR,328.4,86,294.8,53.5,D
2012,1,DOLPA,313.0,53,295.7,14.5,D
2012,1,KANCHANPUR,309.4,57,294.5,12.6,D
2012,1,KANCHANPUR,307.9,40,295.7,10.4,D
2012,1,KANCHANPUR,313.4,73,290.5,48.3,D
2012,1,KANCHANPUR,318.4,78,287.9,66.0,D
2012,1,GORKHA,305.8,51,286.0,24.3,D
2012,1,MYAGDI,309.3,52,289.7,17.3,D
2012,1,MYAGDI,310.2,46,294.1,19.0,D
2012,1,KANCHANPUR,306.9,57,296.8,5.7,D
2012,1,CHITAWAN,300.6,37,285.4,10.2,D
2012,1,KALIKOT,335.2,89,289.5,53.4,D
2012,1,KALIKOT,373.4,100,298.2,192.6,D
2012,1,KANCHANPUR,307.9,66,291.6,9.2,D
2012,1,CHITAWAN,303.1,50,293.0,15.0,D
2012,1,RUKUM,303.4,35,285.7,35.8,D
2012,1,RUKUM,314.9,57,282.7,76.9,D
2012,1,KANCHANPUR,331.1,86,297.0,27.7,D
2012,1,KANCHANPUR,332.4,88,294.2,28.7,D
2012,1,KANCHANPUR,317.5,21,293.3,12.6,D
2012,1,KANCHANPUR,311.3,65,292.1,9.0,D
2012,1,DOLPA,306.8,37,289.5,10.5,D
2012,1,DOLPA,307.5,52,285.2,10.3,D
2012,1,KANCHANPUR,310.2,70,292.7,51.0,D
2012,1,KANCHANPUR,314.2,74,292.5,69.6,D
2012,1,KANCHANPUR,319.9,80,293.6,94.5,D
2012,1,KANCHANPUR,309.9,33,292.7,44.7,D
2012,1,GORKHA,326.3,84,292.0,151.5,D
2012,1,GORKHA,326.6,84,290.6,152.0,D
2012,1,KAPILBASTU,308.7,63,296.8,5.9,D
2012,1,SINDHUPALCHOK,305.2,22,292.9,6.6,D
2012,1,CHITAWAN,307.1,58,296.7,5.5,D
2012,1,JUMLA,302.1,25,291.2,8.8,D
2012,1,GORKHA,311.1,57,289.8,12.2,D
2012,1,RUKUM,303.1,25,291.5,8.3,D
2012,1,KANCHANPUR,304.0,55,293.7,10.6,D
2012,1,BARDIYA,311.0,71,291.5,39.9,D
2012,1,KANCHANPUR,312.2,72,294.2,30.0,D
2012,1,KANCHANPUR,314.9,75,294.3,36.1,D
2012,1,BARDIYA,316.3,77,291.2,56.7,D
2012,2,TERHATHUM,333.0,88,300.4,25.6,D
2012,2,PALPA,305.6,62,291.6,9.2,D
2012,2,JHAPA,313.3,67,299.3,6.6,D
2012,2,TERHATHUM,380.1,100,312.3,147.2,D
2012,2,PALPA,308.4,67,292.3,11.4,D
2012,2,CHITAWAN,306.4,48,295.5,5.5,D
2012,2,CHITAWAN,309.4,66,296.1,9.8,D
2012,2,CHITAWAN,311.3,60,297.7,10.6,D
2012,2,GORKHA,317.6,67,289.6,19.6,D
2012,2,GORKHA,324.2,78,281.8,50.4,D
2012,2,GORKHA,333.0,88,284.4,73.8,D
2012,2,GORKHA,307.0,53,290.6,19.4,D
2012,2,KANCHANPUR,339.8,86,292.9,240.2,D
2012,2,KANCHANPUR,339.9,92,293.7,247.7,D
2012,2,KANCHANPUR,313.2,66,290.2,57.9,D
2012,2,CHITAWAN,313.1,73,294.6,47.0,D
2012,2,CHITAWAN,316.4,77,294.8,56.9,D
2012,2,LAMJUNG,308.6,60,295.3,36.4,D
2012,2,KANCHANPUR,309.8,69,293.6,64.1,D
2012,2,KANCHANPUR,310.6,70,293.3,72.8,D
2012,2,CHITAWAN,312.7,56,299.3,8.4,D
2012,2,CHITAWAN,364.0,0,301.9,95.5,D
2012,2,KANCHANPUR,317.5,76,297.5,14.9,D
2012,2,CHITAWAN,317.5,52,301.2,10.7,D
2012,2,KANCHANPUR,322.4,81,298.1,20.4,D
2012,2,MUGU,300.3,29,288.3,6.7,D
2012,2,CHITAWAN,336.2,67,302.0,33.0,D
2012,2,PARSA,312.5,58,299.4,6.9,D
2012,2,PARSA,317.0,71,300.6,11.6,D
2012,2,CHITAWAN,343.8,93,301.3,48.4,D
2012,2,CHITAWAN,323.4,72,299.6,16.9,D
2012,2,CHITAWAN,320.6,72,300.5,13.9,D
2012,2,GORKHA,310.7,39,294.0,8.8,D
2012,2,CHITAWAN,309.8,44,298.9,6.4,D
2012,2,BAJHANG,300.1,20,287.7,5.2,D
2012,2,KASKI,303.7,48,286.7,6.2,D
2012,2,KANCHANPUR,305.4,61,290.1,11.4,D
2012,2,SIRAHA,310.4,68,295.2,6.8,D
2012,2,PARSA,303.1,55,290.9,13.7,D
2012,2,PARSA,304.4,40,292.0,15.8,D
2012,2,PARSA,308.8,68,291.4,26.1,D
2012,2,CHITAWAN,303.8,41,291.7,15.7,D
2012,2,JHAPA,303.9,18,290.8,9.9,D
2012,2,CHITAWAN,312.1,72,292.5,7.7,D
2012,2,TERHATHUM,320.2,75,298.8,15.4,D
2012,2,SUNSARI,327.3,81,309.7,11.5,D
2012,2,PANCHTHAR,322.8,80,290.7,18.8,D
2012,2,CHITAWAN,312.7,50,297.7,10.2,D
2012,2,BAJURA,309.3,56,284.2,22.7,D
2012,2,CHITAWAN,309.1,49,296.7,17.5,D
2012,2,CHITAWAN,308.1,41,296.4,15.7,D
2012,2,CHITAWAN,326.5,84,296.8,74.4,D
2012,2,CHITAWAN,321.3,80,296.0,53.8,D
2012,2,CHITAWAN,335.0,89,297.9,119.8,D
2012,2,KANCHANPUR,310.2,69,294.4,11.3,D
2012,2,TAPLEJUNG,310.9,54,293.3,10.8,D
2012,2,DHANKUTA,310.8,64,296.6,7.2,D
2012,2,CHITAWAN,315.4,68,294.9,15.8,D
2012,2,CHITAWAN,318.0,75,295.7,20.4,D
2012,2,HUMLA,316.5,40,294.7,15.2,D
2012,2,BARDIYA,310.0,48,297.5,5.1,D
2012,2,BHOJPUR,301.7,20,286.4,10.8,D
2012,2,KABHREPALANCHOK,300.4,0,286.3,8.6,D
2012,2,OKHALDHUNGA,302.2,32,287.1,9.5,D
2012,2,MORANG,312.9,66,296.3,16.0,D
2012,2,JHAPA,314.9,70,295.9,18.9,D
2012,2,BARDIYA,316.2,64,301.4,9.9,D
2012,2,NAWALPARASI,314.6,68,299.8,6.6,D
2012,2,CHITAWAN,312.4,52,299.2,5.7,D
2012,2,CHITAWAN,321.8,78,298.4,16.6,D
2012,2,CHITAWAN,310.2,35,298.4,5.5,D
2012,2,CHITAWAN,313.4,53,300.9,7.3,D
2012,2,BARDIYA,314.6,67,301.6,9.0,D
2012,2,GORKHA,308.2,25,293.2,6.0,D
2012,2,PANCHTHAR,302.1,42,288.6,13.0,D
2012,2,DARCHULA,315.2,72,293.1,14.6,D
2012,2,DARCHULA,316.9,71,294.7,15.9,D
2012,2,DARCHULA,311.8,44,288.9,11.6,D
2012,2,BAGLUNG,306.0,37,293.1,6.0,D
2012,2,PANCHTHAR,303.0,42,292.5,18.3,D
2012,2,PANCHTHAR,303.3,43,292.5,16.4,D
2012,2,KANCHANPUR,354.0,97,301.2,272.7,D
2012,2,KANCHANPUR,324.7,80,299.3,70.6,D
2012,2,KANCHANPUR,351.7,96,302.8,251.6,D
2012,2,KANCHANPUR,347.7,94,300.0,219.4,D
2012,2,KANCHANPUR,327.8,82,301.5,79.1,D
2012,2,KANCHANPUR,314.8,68,301.0,27.9,D
2012,2,BAJURA,317.7,72,289.9,87.9,D
2012,2,BAJURA,318.4,74,289.6,94.7,D
2012,2,CHITAWAN,340.4,90,304.3,40.2,D
2012,2,NAWALPARASI,313.7,63,300.8,9.4,D
2012,2,CHITAWAN,313.8,39,302.1,6.1,D
2012,2,CHITAWAN,315.8,67,301.2,9.2,D
2012,2,DOLPA,318.1,45,294.5,18.2,D
2012,2,CHITAWAN,332.1,85,303.7,25.1,D
2012,2,CHITAWAN,363.1,100,306.5,93.5,D
2012,2,CHITAWAN,321.3,64,303.6,13.6,D
2012,2,CHITAWAN,320.7,58,304.9,11.9,D
2012,2,MAKAWANPUR,326.1,81,304.5,19.0,D
2012,2,MAKAWANPUR,325.4,75,306.1,18.6,D
2012,2,CHITAWAN,323.2,77,302.8,15.1,D
2012,2,OKHALDHUNGA,312.8,40,301.2,5.6,D
2012,2,BAGLUNG,308.5,35,291.0,8.3,D
2012,2,PYUTHAN,310.0,51,297.3,7.3,D
2012,2,GORKHA,324.6,0,272.8,25.1,D
2012,2,PYUTHAN,309.1,36,297.4,6.3,D
2012,2,BAGLUNG,317.3,67,295.1,16.4,D
2012,2,KAILALI,306.5,41,294.4,10.8,D
2012,2,KANCHANPUR,314.7,69,299.2,15.4,D
2012,2,BARDIYA,309.9,54,298.3,14.5,D
2012,2,RAUTAHAT,318.4,73,302.5,65.8,D
2012,2,SARLAHI,316.8,60,303.0,53.2,D
2012,2,TAPLEJUNG,311.2,60,292.0,10.8,D
2012,2,PANCHTHAR,329.8,78,288.3,28.8,D
2012,2,DHANKUTA,322.4,78,305.8,13.5,D
2012,2,PANCHTHAR,324.4,80,291.2,22.7,D
2012,2,TAPLEJUNG,305.4,37,293.5,6.4,D
2012,2,PANCHTHAR,325.5,58,291.5,22.6,D
2012,2,PANCHTHAR,312.5,55,284.8,12.0,D
2012,2,CHITAWAN,316.6,71,298.7,17.1,D
2012,2,SANKHUWASABHA,311.7,56,297.1,9.9,D
2012,2,MAKAWANPUR,321.5,79,300.8,24.5,D
2012,2,KANCHANPUR,313.2,71,295.3,41.4,D
2012,2,KANCHANPUR,320.7,79,294.7,70.6,D
2012,2,PANCHTHAR,307.4,53,290.9,8.0,D
2012,2,SOLUKHUMBU,309.7,51,299.3,10.2,D
2012,2,LAMJUNG,318.7,66,302.1,21.3,D
2012,2,KANCHANPUR,309.2,62,294.5,28.4,D
2012,2,CHITAWAN,309.2,50,296.9,12.2,D
2012,2,DOLPA,326.1,23,309.3,30.3,D
2012,2,DOLPA,323.2,40,306.9,26.0,D
2012,2,DOLPA,328.5,79,309.3,37.9,D
2012,2,CHITAWAN,309.6,43,297.3,9.9,D
2012,2,BAJHANG,323.4,47,299.4,20.6,D
2012,2,RUKUM,313.7,42,300.6,14.4,D
2012,2,DARCHULA,303.4,38,288.1,7.3,D
2012,2,BARDIYA,310.9,34,291.4,11.9,D
2012,2,DHANKUTA,314.4,71,297.6,13.6,D
2012,2,DHANKUTA,312.4,54,297.7,14.5,D
2012,2,DHANKUTA,312.8,47,296.8,12.9,D
2012,3,JAJARKOT,305.3,31,293.4,6.0,D
2012,3,CHITAWAN,312.4,71,296.2,58.6,D
2012,3,CHITAWAN,307.4,40,295.8,34.0,D
2012,3,RUKUM,314.9,42,294.7,10.8,D
2012,3,CHITAWAN,319.7,58,301.3,12.0,D
2012,3,CHITAWAN,310.3,56,298.3,5.5,D
2012,3,RUKUM,324.5,81,300.3,19.8,D
2012,3,RUKUM,327.9,85,299.5,24.4,D
2012,3,RAMECHHAP,315.0,64,298.4,11.0,D
2012,3,CHITAWAN,324.6,76,301.0,17.6,D
2012,3,CHITAWAN,317.3,36,303.2,9.0,D
2012,3,DHANKUTA,323.8,74,303.2,17.1,D
2012,3,TERHATHUM,318.5,67,305.7,10.3,D
2012,3,JHAPA,317.2,37,303.4,8.5,D
2012,3,BARDIYA,314.5,47,303.7,6.6,D
2012,3,BARDIYA,319.9,75,303.5,13.7,D
2012,3,BARDIYA,313.6,56,298.8,8.9,D
2012,3,BARDIYA,335.0,88,303.2,37.8,D
2012,3,BAITADI,312.8,64,299.6,12.2,D
2012,3,NAWALPARASI,310.5,62,296.6,6.3,D
2012,3,RUKUM,315.0,67,299.1,58.3,D
2012,3,KHOTANG,306.5,68,285.9,15.0,N
2012,3,BHOJPUR,323.3,58,297.3,13.9,D
2012,3,MAHOTTARI,321.0,73,301.5,11.1,D
2012,3,CHITAWAN,310.1,53,297.7,6.3,D
2012,3,CHITAWAN,332.3,86,298.2,35.7,D
2012,3,SANKHUWASABHA,312.8,73,287.5,11.3,D
2012,3,SANKHUWASABHA,354.3,98,291.3,72.5,D
2012,3,MANANG,302.8,19,285.9,6.9,D
2012,3,SARLAHI,312.4,64,295.2,7.3,D
2012,3,RAUTAHAT,322.2,73,298.9,14.8,D
2012,3,MAHOTTARI,312.9,17,294.5,22.1,D
2012,3,CHITAWAN,319.6,73,293.8,41.6,D
2012,3,CHITAWAN,309.9,46,294.0,18.5,D
2012,3,RAMECHHAP,310.9,59,296.9,11.2,D
2012,3,BHOJPUR,326.4,81,301.0,26.3,D
2012,3,SUNSARI,326.4,80,305.8,18.7,D
2012,3,MAKAWANPUR,309.9,46,297.5,9.7,D
2012,3,MAKAWANPUR,310.1,40,297.5,9.9,D
2012,3,DANG,314.1,55,302.9,6.2,D
2012,3,BANKE,314.3,50,301.6,7.4,D
2012,3,DHANKUTA,327.6,82,301.2,62.8,D
2012,3,DHANKUTA,327.1,81,300.4,60.9,D
2012,3,KANCHANPUR,321.9,76,302.4,12.9,D
2012,3,BAJURA,306.7,45,294.2,9.4,D
2012,3,KANCHANPUR,328.6,84,297.6,22.4,D
2012,3,BARA,313.9,59,301.1,16.0,D
2012,3,PANCHTHAR,306.0,67,286.0,10.4,N
2012,3,BARA,304.9,62,290.0,7.2,N
2012,3,KANCHANPUR,300.0,8,284.8,12.1,N
2012,3,KANCHANPUR,323.9,100,284.5,51.0,N
2012,3,KANCHANPUR,337.0,90,297.0,283.6,D
2012,3,KANCHANPUR,319.2,77,296.3,103.4,D
2012,3,KANCHANPUR,317.1,71,296.6,85.3,D
2012,3,KANCHANPUR,331.1,86,297.7,212.7,D
2012,3,KANCHANPUR,322.5,78,299.7,17.5,D
2012,3,CHITAWAN,324.8,78,300.3,17.2,D
2012,3,CHITAWAN,318.2,59,303.0,9.1,D
2012,3,CHITAWAN,315.7,47,303.2,7.0,D
2012,3,CHITAWAN,322.5,68,301.5,13.6,D
2012,3,PARSA,316.5,36,294.9,8.8,D
2012,3,CHITAWAN,315.9,62,298.8,7.9,D
2012,3,CHITAWAN,319.8,50,304.7,8.3,D
2012,3,PARSA,321.3,63,299.6,13.7,D
2012,3,TAPLEJUNG,319.4,76,300.3,25.9,D
2012,3,PALPA,317.9,68,299.0,11.7,D
2012,3,DANG,322.5,75,304.4,12.4,D
2012,3,BARDIYA,309.7,53,298.3,5.6,D
2012,3,DHANUSHA,316.6,61,305.0,8.1,D
2012,3,DHADING,311.8,26,294.0,6.9,D
2012,3,KANCHANPUR,367.7,94,305.9,123.2,D
2012,3,KANCHANPUR,327.1,54,303.3,21.4,D
2012,3,MUSTANG,300.7,0,277.6,6.2,D
2012,3,SOLUKHUMBU,340.3,92,294.9,74.4,D
2012,3,SOLUKHUMBU,335.4,89,293.9,62.1,D
2012,3,SOLUKHUMBU,323.2,82,294.0,34.4,D
2012,3,SINDHUPALCHOK,307.1,62,286.9,12.4,D
2012,3,TAPLEJUNG,306.7,43,292.7,14.8,D
2012,3,MAKAWANPUR,306.0,22,293.2,6.7,D
2012,3,MYAGDI,302.5,48,282.0,6.2,D
2012,3,MAKAWANPUR,307.2,29,295.7,4.9,D
2012,3,SINDHUPALCHOK,308.3,67,289.2,13.4,D
2012,3,BARA,324.6,77,305.8,18.6,D
2012,3,BARA,322.2,69,302.7,15.7,D
2012,3,BARA,316.3,56,304.0,8.8,D
2012,3,PARSA,321.2,75,301.5,18.0,D
2012,3,MORANG,313.8,57,301.8,10.8,D
2012,3,NAWALPARASI,313.4,37,298.6,65.9,D
2012,3,ILAM,304.2,59,292.1,6.9,N
2012,3,DOLAKHA,307.2,71,275.6,15.8,N
2012,3,PANCHTHAR,308.9,76,287.0,11.8,N
2012,3,DOLAKHA,320.6,39,287.2,99.7,D
2012,3,DOLAKHA,320.6,58,287.1,101.9,D
2012,3,PANCHTHAR,316.2,71,301.6,35.6,D
2012,3,PANCHTHAR,322.8,79,301.2,60.0,D
2012,3,DOLAKHA,339.4,91,290.2,250.9,D
2012,3,DOLAKHA,322.7,71,290.2,116.0,D
2012,3,KANCHANPUR,360.7,100,301.0,344.0,D
2012,3,KANCHANPUR,364.6,100,299.9,388.9,D
2012,3,KANCHANPUR,317.8,75,300.2,40.8,D
2012,3,KANCHANPUR,315.5,71,298.2,35.5,D
2012,3,DHANKUTA,321.1,56,306.1,9.6,D
2012,3,DHANKUTA,324.1,62,306.6,10.8,D
2012,3,BHOJPUR,321.4,67,308.4,10.7,D
2012,3,BHOJPUR,323.9,75,308.1,13.3,D
2012,3,SAPTARI,322.5,68,309.0,9.4,D
2012,3,JHAPA,323.3,56,307.6,12.3,D
2012,3,SAPTARI,319.3,52,309.0,5.6,D
2012,3,DHANKUTA,328.7,74,310.7,16.2,D
2012,3,TERHATHUM,319.8,55,307.2,7.8,D
2012,3,DHANKUTA,322.6,39,307.6,10.7,D
2012,3,HUMLA,306.5,37,295.8,11.1,D
2012,3,PARSA,326.4,77,303.4,18.0,D
2012,3,CHITAWAN,320.8,70,304.9,11.8,D
2012,3,KANCHANPUR,319.0,59,303.6,19.0,D
2012,3,CHITAWAN,355.1,97,306.0,72.7,D
2012,3,CHITAWAN,328.7,81,303.9,22.5,D
2012,3,CHITAWAN,340.2,90,302.7,40.4,D
2012,3,MYAGDI,315.2,66,295.2,14.6,D
2012,3,TAPLEJUNG,330.0,85,300.3,28.5,D
2012,3,PARSA,324.8,75,304.7,15.8,D
2012,3,PARSA,319.8,67,304.5,11.5,D
2012,3,MYAGDI,319.2,78,296.9,19.2,D
2012,3,CHITAWAN,315.7,52,304.7,8.0,D
2012,3,DOTI,315.1,73,302.9,15.0,D
2012,3,TANAHU,312.6,52,302.0,5.4,D
2012,3,CHITAWAN,328.5,81,304.2,21.1,D
2012,3,DAILEKH,311.5,52,298.0,8.9,D
2012,3,CHITAWAN,317.4,56,305.0,9.7,D
2012,3,MAKAWANPUR,310.7,23,300.2,4.9,D
2012,3,MAKAWANPUR,320.9,62,299.5,13.8,D
2012,3,PARSA,324.2,74,307.0,12.7,D
2012,3,BARA,318.8,26,307.5,6.4,D
2012,3,PARSA,318.3,66,303.2,10.4,D
2012,3,PARSA,321.2,71,303.6,13.3,D
2012,3,KHOTANG,323.2,67,309.4,9.4,D
2012,3,SANKHUWASABHA,317.5,56,305.0,10.0,D
2012,3,DOLAKHA,360.2,100,295.2,85.2,D
2012,3,DHANKUTA,307.5,71,287.7,22.1,N
2012,3,ILAM,313.2,48,300.3,6.9,D
2012,3,BHOJPUR,317.5,72,301.0,10.6,D
2012,3,SINDHUPALCHOK,316.5,77,287.3,15.3,D
2012,3,DOLAKHA,309.1,36,291.6,8.9,D
2012,3,DHANKUTA,326.4,80,307.1,19.4,D
2012,3,ACHHAM,305.8,33,295.4,6.8,D
2012,3,PANCHTHAR,326.3,83,298.1,22.3,D
2012,3,DHANKUTA,321.1,37,307.7,11.5,D
2012,3,PANCHTHAR,320.5,79,299.0,14.7,D
2012,3,DOLAKHA,312.3,56,292.7,11.0,D
2012,3,BHOJPUR,312.6,40,302.1,5.9,D
2012,3,MAHOTTARI,319.9,48,305.7,7.0,D
2012,3,KANCHANPUR,316.6,59,301.5,12.2,D
2012,3,DOLAKHA,320.2,72,300.3,90.7,D
2012,3,KANCHANPUR,319.3,47,303.7,18.7,D
2012,3,KANCHANPUR,318.8,67,305.5,17.7,D
2012,3,KANCHANPUR,315.9,49,304.7,12.8,D
2012,3,DOLAKHA,313.3,43,300.4,43.4,D
2012,3,JAJARKOT,310.2,45,290.3,22.7,D
2012,3,JAJARKOT,329.5,84,296.8,79.6,D
2012,3,BHOJPUR,317.1,72,298.5,10.5,D
2012,3,CHITAWAN,322.1,77,298.5,36.4,D
2012,3,ROLPA,323.5,81,290.4,32.7,D
2012,3,KANCHANPUR,315.8,66,301.9,7.4,D
2012,3,KANCHANPUR,315.1,70,300.0,8.2,D
2012,3,TAPLEJUNG,321.9,80,300.3,20.3,D
2012,3,BARA,320.5,70,301.6,14.6,D
2012,3,BARA,322.5,74,301.3,17.8,D
2012,3,PARSA,318.1,67,301.1,13.7,D
2012,3,DOLAKHA,311.7,32,294.7,16.8,D
2012,3,MAKAWANPUR,312.8,61,300.6,7.5,D
2012,3,PARSA,315.1,65,300.0,11.4,D
2012,3,TAPLEJUNG,327.5,81,303.5,45.7,D
2012,3,NAWALPARASI,327.2,0,302.1,22.6,D
2012,3,BARDIYA,316.1,40,304.5,6.4,D
2012,3,CHITAWAN,312.6,58,300.0,7.3,D
2012,3,KANCHANPUR,320.3,74,305.7,8.2,D
2012,3,BAJURA,312.2,59,296.3,9.9,D
2012,3,PANCHTHAR,311.6,47,296.4,14.3,D
2012,3,SUNSARI,321.0,67,305.4,9.0,D
2012,3,SUNSARI,324.9,59,301.7,16.2,D
2012,3,SUNSARI,340.5,89,302.7,40.3,D
2012,3,KHOTANG,321.6,64,303.0,12.5,D
2012,3,CHITAWAN,330.8,84,298.4,24.6,D
2012,3,UDAYAPUR,316.4,56,302.7,7.1,D
2012,3,SARLAHI,319.4,63,303.1,8.3,D
2012,3,BARA,316.4,61,303.3,6.9,D
2012,3,PARSA,313.9,45,300.1,4.9,D
2012,3,PARSA,316.8,63,300.2,7.4,D
2012,3,BARA,322.3,41,302.0,9.4,D
2012,3,BARA,331.0,82,302.7,21.5,D
2012,3,SARLAHI,317.7,55,303.3,6.5,D
2012,3,SARLAHI,326.3,77,302.5,16.3,D
2012,3,RUKUM,308.9,39,291.5,9.6,D
2012,3,MORANG,319.7,46,306.8,10.1,D
2012,3,SUNSARI,343.0,91,303.3,47.5,D
2012,3,SUNSARI,321.3,41,303.2,8.7,D
2012,3,BARA,318.4,64,302.1,8.3,D
2012,3,PANCHTHAR,316.9,61,301.5,13.3,D
2012,3,MAKAWANPUR,311.8,51,299.8,4.8,D
2012,3,SINDHULI,319.3,63,304.1,10.0,D
2012,3,BHOJPUR,304.6,61,289.2,10.1,N
2012,3,SIRAHA,319.2,32,303.3,7.9,D
2012,3,UDAYAPUR,319.0,45,303.4,7.0,D
2012,3,BHOJPUR,327.0,78,302.9,15.4,D
2012,3,TERHATHUM,320.4,40,303.4,7.4,D
2012,3,BHOJPUR,320.9,69,303.4,8.9,D
2012,3,SAPTARI,316.7,14,301.5,6.1,D
2012,3,SAPTARI,319.5,39,304.0,7.9,D
2012,3,BARA,322.5,72,305.3,12.1,D
2012,3,BAGLUNG,323.3,79,297.2,26.9,D
2012,3,BAGLUNG,321.4,71,299.7,24.2,D
2012,3,TAPLEJUNG,325.4,79,304.8,13.1,D
2012,3,TAPLEJUNG,323.1,75,305.2,11.4,D
2012,3,NAWALPARASI,319.5,69,301.3,15.0,D
2012,3,NAWALPARASI,331.6,83,302.2,33.0,D
2012,3,DHANUSHA,321.6,59,305.5,8.1,D
2012,3,CHITAWAN,324.5,77,301.5,20.2,D
2012,3,RAUTAHAT,319.8,45,304.8,8.5,D
2012,3,CHITAWAN,320.5,72,301.4,15.0,D
2012,3,RAUTAHAT,321.2,52,304.0,10.4,D
2012,3,MYAGDI,312.2,64,294.6,11.7,D
2012,3,BARA,320.7,66,305.3,9.1,D
2012,3,SAPTARI,323.4,64,307.7,9.0,D
2012,3,SINDHULI,330.8,82,306.0,20.7,D
2012,3,SAPTARI,316.3,48,300.8,7.2,D
2012,3,PARSA,318.9,67,301.6,11.5,D
2012,3,RUKUM,322.1,51,303.3,21.6,D
2012,3,BARDIYA,326.8,78,304.4,27.5,D
2012,3,HUMLA,308.0,52,293.9,15.5,D
2012,3,KANCHANPUR,318.8,52,301.0,14.3,D
2012,3,TAPLEJUNG,321.7,71,292.6,21.7,D
2012,3,PARSA,311.4,54,300.6,11.0,D
2012,3,TAPLEJUNG,313.8,49,293.5,10.8,D
2012,3,MAKAWANPUR,312.1,50,298.2,11.7,D
2012,3,MYAGDI,317.2,73,295.8,38.5,D
2012,3,MYAGDI,324.7,81,293.8,62.6,D
2012,3,SINDHUPALCHOK,313.5,65,295.5,20.4,D
2012,3,BAGLUNG,304.1,58,286.2,8.4,N
2012,3,SUNSARI,317.2,37,301.1,6.7,D
2012,3,DOLAKHA,321.3,69,305.2,19.7,D
2012,3,DOLAKHA,327.1,81,301.9,29.6,D
2012,3,SINDHUPALCHOK,319.6,69,303.7,22.4,D
2012,3,SINDHUPALCHOK,317.7,62,300.3,20.7,D
2012,3,BARA,313.4,47,301.3,9.7,D
2012,3,PANCHTHAR,316.0,34,299.3,20.0,D
2012,3,TERHATHUM,318.2,65,299.4,26.4,D
2012,3,CHITAWAN,352.4,96,303.0,107.0,D
2012,3,RAUTAHAT,314.6,55,300.6,13.1,D
2012,3,CHITAWAN,315.9,53,300.6,12.2,D
2012,3,TERHATHUM,326.6,79,299.4,61.3,D
2012,3,CHITAWAN,315.7,56,301.9,13.0,D
2012,3,PARSA,322.4,65,301.7,23.1,D
2012,3,PARSA,317.8,40,301.8,12.3,D
2012,3,TERHATHUM,315.8,25,298.4,18.0,D
2012,3,PARSA,325.2,73,301.7,28.5,D
2012,3,KANCHANPUR,324.4,75,306.3,13.2,D
2012,3,SINDHUPALCHOK,317.3,66,300.9,28.2,D
2012,3,JAJARKOT,320.7,57,307.8,15.4,D
2012,3,ROLPA,327.1,79,305.0,23.8,D
2012,3,ROLPA,316.2,37,302.7,9.5,D
2012,3,DOLPA,317.6,46,302.3,15.1,D
2012,3,MUSTANG,318.0,57,300.5,16.4,D
2012,3,TANAHU,318.3,67,301.7,14.7,D
2012,3,BAITADI,324.6,61,308.9,13.2,D
2012,3,BAITADI,320.2,48,308.7,6.6,D
2012,3,SURKHET,325.9,77,307.8,15.3,D
2012,3,SURKHET,323.0,62,307.1,12.4,D
2012,3,KANCHANPUR,327.1,78,305.0,15.9,D
